Date,Close,High,Low,Open,Volume
2020-01-02,63.10222625732422,63.370816743174515,62.71514617309365,63.03113249829605,1416232
2020-01-03,63.44190979003906,64.13708090306832,63.394513951219,63.96328812481101,1622784
2020-01-06,63.01533508300781,63.10223148030434,62.588760439655466,62.98374187211667,2129260
2020-01-07,64.14497375488281,64.14497375488281,63.339214390861315,63.84479007552923,2417468
2020-01-08,63.907989501953125,64.1844752669463,63.22071972016642,64.16077734808083,1719114
2020-01-09,64.37406921386719,64.6505549984844,64.12128134979744,64.3819705296957,3014295
2020-01-10,65.17192840576172,65.17192840576172,64.46491437975783,64.4846586274216,2875353
2020-01-13,65.1561279296875,65.23512299646038,64.56365588848507,64.85593823823842,1434635
2020-01-14,65.70118713378906,65.97767283477536,65.38520089254632,65.53529571319729,2703855
2020-01-15,66.08829498291016,66.17518535170451,65.64591168819734,65.64591168819734,2039328
2020-01-16,66.72026062011719,66.72026062011719,66.26208072729703,66.35687843761994,3058484
2020-01-17,66.3963623046875,67.11522517310115,66.3647630758542,66.94143242798629,2401336
2020-01-20,66.30156707763672,66.67285049653,66.22257201609146,66.35686422341209,1980399
2020-01-21,65.94609832763672,66.26207863150935,65.72490367721271,66.26207863150935,1923944
2020-01-22,66.71234893798828,66.79924531888055,65.95398545405897,65.96188676875933,3656698
2020-01-23,66.76764678955078,67.10733100199367,66.56226082067818,66.70445435209467,2105704
2020-01-24,67.09943389892578,67.4628160189514,66.96513565898863,67.06783466758394,2839291
2020-01-28,66.37267303466797,66.41217358617543,65.99349425872336,66.1198851750589,2273413
2020-01-29,66.83875274658203,67.03624344586234,66.48327189865262,66.7044605175365,1877335
2020-01-30,67.49441528320312,67.49441528320312,66.89404194128944,67.02043283978135,3176161
2020-01-31,67.35221862792969,67.91309139786728,67.06783158585755,67.59710512590526,6713764
2020-02-03,66.79135131835938,67.10733158921676,66.4042652407656,66.47536502056465,2139581
2020-02-04,66.60176086425781,66.90195058155366,66.32922273752881,66.67286064933128,2564013
2020-02-05,65.78810119628906,67.14683818024646,65.78810119628906,67.14683818024646,3166202
2020-02-06,66.53857421875,66.63336590452299,65.96189868023164,66.30158295044092,3581220
2020-02-07,66.98885345458984,66.98885345458984,66.31738019686884,66.84665989761743,3368097
2020-02-10,66.60965728759766,66.94144018840551,66.42006791955565,66.94144018840551,1818742
2020-02-11,66.9256362915039,67.14682486793546,66.76764014624086,66.98883474960913,1913033
2020-02-12,69.6589126586914,69.95909632159429,68.09478382644807,68.09478382644807,7132862
2020-02-13,70.09339904785156,70.09339904785156,69.41403058530031,69.90380364415985,4143011
2020-02-14,71.87873077392578,71.92613265164542,70.5436974191191,70.62269251273274,7942600
2020-02-17,70.67005920410156,71.79180474061027,70.50416776788015,71.72071099377403,2619663
2020-02-18,71.30203247070312,71.30203247070312,70.76485761260206,70.9465456520989,3817424
2020-02-19,70.95465850830078,71.21317460297978,70.68806205217592,71.10007419677709,8050978
2020-02-20,70.9708023071289,71.1727681680846,70.61534658303296,70.95464775019639,2902590
2020-02-21,71.73828125,71.73828125,70.71229115365506,70.97080722705917,2506023
2020-02-24,71.08391571044922,71.08391571044922,70.60727914981396,70.77692976445583,2432907
2020-02-25,70.12256622314453,70.51033731770445,69.3550920691644,69.71863440426354,3475833
2020-02-26,68.9511489868164,69.51665713897786,68.7249481913556,68.93499442864467,3362264
2020-02-27,68.20791625976562,69.18543036529435,67.64241426929757,68.76534405287659,4435151
2020-02-28,66.06707763671875,66.72144511517259,65.6550655160025,66.44677447703477,7654504
2020-03-02,65.00877380371094,65.25112914431885,63.6192476622595,64.6694726287544,4714534
2020-03-03,63.910091400146484,66.20442111990788,63.893930676198714,65.84088495671662,4537570
2020-03-04,62.294368743896484,63.33651362881089,61.80157140691733,63.15070227080616,4610814
2020-03-05,62.00353240966797,63.25572347748229,61.71270101538219,63.13454270261151,5804404
